Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Purchase Date,Quantity,Price
AX13188,ENX2097,A136,EMP1023,C1617,2015-01-03,4,1052
AX13548,ENX2056,A156,EMP1042,C1560,2015-01-03,1,1635
AX13623,ENX2071,A168,EMP1025,C1139,2015-01-03,2,136
AX13652,ENX2064,A170,EMP1019,C1471,2015-01-03,2,1414
AX14370,ENX2088,A125,EMP1038,C1449,2015-01-03,4,603
AX14968,ENX2062,A101,EMP1023,C1698,2015-01-03,2,2464
AX15041,ENX2089,A113,EMP1031,C1145,2015-01-03,3,2294
AX16181,ENX2096,A171,EMP1030,C1484,2015-01-03,1,1587
AX18717,ENX2043,A157,EMP1003,C1584,2015-01-03,4,545
AX21464,ENX2073,A170,EMP1027,C1581,2015-01-03,2,95
AX21718,ENX2061,A163,EMP1035,C1734,2015-01-03,1,913
AX22048,ENX2005,A130,EMP1044,C1268,2015-01-03,3,684
AX22372,ENX2019,A162,EMP1007,C1674,2015-01-03,3,800
AX22888,ENX2013,A121,EMP1014,C1372,2015-01-03,1,368
AX23435,ENX2088,A107,EMP1031,C1454,2015-01-03,1,603
AX23809,ENX2082,A109,EMP1001,C1408,2015-01-03,1,1103
AX10372,ENX2063,A140,EMP1007,C1254,2015-01-04,3,1708
AX10443,ENX2057,A133,EMP1021,C1571,2015-01-04,1,181
AX12383,ENX2076,A134,EMP1015,C1041,2015-01-04,1,1522
AX14056,ENX2066,A171,EMP1040,C1398,2015-01-04,1,2091
AX15421,ENX2025,A127,EMP1007,C1159,2015-01-04,1,667
AX15753,ENX2023,A106,EMP1037,C1538,2015-01-04,1,818
AX16296,ENX2091,A158,EMP1002,C1642,2015-01-04,1,368
AX16587,ENX2068,A155,EMP1032,C1262,2015-01-04,1,1500
AX18101,ENX2045,A141,EMP1044,C1171,2015-01-04,1,556
AX20128,ENX2042,A154,EMP1012,C1163,2015-01-04,1,203
AX21711,ENX2091,A167,EMP1030,C1619,2015-01-04,1,368
AX22426,ENX2080,A127,EMP1021,C1202,2015-01-04,2,2353
AX24954,ENX2064,A134,EMP1022,C1682,2015-01-04,1,1414
AX11484,ENX2003,A150,EMP1039,C1171,2015-01-05,1,1783
AX11775,ENX2070,A149,EMP1021,C1353,2015-01-05,1,1671
AX13270,ENX2004,A130,EMP1035,C1262,2015-01-05,2,1278
AX19348,ENX2079,A130,EMP1000,C1217,2015-01-05,3,1725
AX19585,ENX2082,A139,EMP1031,C1402,2015-01-05,2,1103
AX20709,ENX2097,A102,EMP1032,C1502,2015-01-05,1,1052
AX21045,ENX2021,A110,EMP1040,C1444,2015-01-05,3,217
AX21490,ENX2067,A146,EMP1042,C1652,2015-01-05,1,1119
AX21900,ENX2080,A120,EMP1037,C1089,2015-01-05,2,2353
AX22731,ENX2078,A155,EMP1042,C1754,2015-01-05,1,1798
AX24923,ENX2046,A125,EMP1038,C1608,2015-01-05,3,2410
AX12006,ENX2050,A132,EMP1043,C1768,2015-01-06,1,2391
AX12317,ENX2016,A117,EMP1017,C1511,2015-01-06,3,1351
AX14261,ENX2022,A129,EMP1038,C1300,2015-01-06,4,561
AX14658,ENX2015,A116,EMP1043,C1173,2015-01-06,1,637
AX15235,ENX2017,A125,EMP1013,C1291,2015-01-06,1,35
AX17051,ENX2012,A121,EMP1016,C1386,2015-01-06,4,1353
AX20019,ENX2047,A129,EMP1035,C1339,2015-01-06,1,290
AX20571,ENX2100,A154,EMP1030,C1353,2015-01-06,3,799
AX21551,ENX2099,A149,EMP1006,C1157,2015-01-06,1,1367
AX21885,ENX2092,A144,EMP1017,C1075,2015-01-06,2,1639
AX23260,ENX2083,A129,EMP1024,C1400,2015-01-06,2,2141
AX23475,ENX2016,A156,EMP1020,C1597,2015-01-06,2,1351
AX24601,ENX2019,A130,EMP1031,C1309,2015-01-06,1,800
AX10949,ENX2036,A139,EMP1014,C1685,2015-01-07,2,1582
AX12387,ENX2026,A111,EMP1027,C1074,2015-01-07,1,947
AX12679,ENX2041,A170,EMP1040,C1642,2015-01-07,4,1380
AX13411,ENX2057,A165,EMP1040,C1473,2015-01-07,2,181
AX18058,ENX2011,A123,EMP1026,C1100,2015-01-07,3,530
AX20073,ENX2044,A103,EMP1025,C1388,2015-01-07,1,886
AX20276,ENX2074,A145,EMP1004,C1386,2015-01-07,4,504
AX21303,ENX2081,A149,EMP1041,C1243,2015-01-07,2,1566
AX21799,ENX2038,A119,EMP1027,C1354,2015-01-07,2,392
AX22287,ENX2024,A158,EMP1010,C1309,2015-01-07,1,356
AX10537,ENX2073,A124,EMP1022,C1408,2015-01-08,1,95
AX13670,ENX2021,A100,EMP1024,C1739,2015-01-08,4,217
AX16908,ENX2023,A160,EMP1004,C1136,2015-01-08,1,818
AX17810,ENX2042,A165,EMP1007,C1487,2015-01-08,1,203
AX18490,ENX2040,A146,EMP1018,C1708,2015-01-08,1,1889
AX18955,ENX2083,A138,EMP1032,C1283,2015-01-08,3,2141
AX19347,ENX2093,A137,EMP1004,C1154,2015-01-08,2,112
AX22724,ENX2047,A113,EMP1026,C1013,2015-01-08,4,290
AX24137,ENX2070,A140,EMP1029,C1540,2015-01-08,1,1671
AX24230,ENX2007,A114,EMP1027,C1186,2015-01-08,3,1405
AX12267,ENX2062,A157,EMP1041,C1042,2015-01-09,2,2464
AX13609,ENX2063,A140,EMP1030,C1192,2015-01-09,1,1708
AX13875,ENX2012,A172,EMP1002,C1150,2015-01-09,1,1353
AX14091,ENX2070,A120,EMP1018,C1629,2015-01-09,1,1671
AX14728,ENX2079,A160,EMP1017,C1786,2015-01-09,1,1725
AX14886,ENX2098,A167,EMP1015,C1351,2015-01-09,4,1178
AX16888,ENX2056,A142,EMP1034,C1426,2015-01-09,1,1635
AX16940,ENX2093,A109,EMP1040,C1202,2015-01-09,1,112
AX17551,ENX2021,A140,EMP1041,C1627,2015-01-09,1,217
AX18460,ENX2030,A122,EMP1040,C1784,2015-01-09,1,1899
AX19176,ENX2073,A127,EMP1031,C1300,2015-01-09,2,95
AX19439,ENX2050,A102,EMP1001,C1599,2015-01-09,1,2391
AX20029,ENX2031,A162,EMP1010,C1725,2015-01-09,1,1638
AX24541,ENX2076,A137,EMP1023,C1167,2015-01-09,1,1522
AX10625,ENX2003,A159,EMP1035,C1435,2015-01-10,2,1783
AX14382,ENX2051,A139,EMP1032,C1603,2015-01-10,2,1077
AX15072,ENX2022,A132,EMP1037,C1659,2015-01-10,2,561
AX15387,ENX2061,A170,EMP1035,C1485,2015-01-10,1,913
AX16579,ENX2045,A101,EMP1036,C1342,2015-01-10,1,556
AX16626,ENX2026,A170,EMP1038,C1161,2015-01-10,3,947
AX17627,ENX2018,A121,EMP1014,C1291,2015-01-10,2,1972
AX18108,ENX2054,A135,EMP1003,C1175,2015-01-10,3,127
AX18480,ENX2072,A105,EMP1031,C1425,2015-01-10,1,1887
AX18729,ENX2045,A127,EMP1013,C1098,2015-01-10,4,556
AX18946,ENX2081,A104,EMP1016,C1645,2015-01-10,4,1566
AX20021,ENX2069,A105,EMP1036,C1161,2015-01-10,1,378
AX23671,ENX2082,A106,EMP1019,C1234,2015-01-10,1,1103
AX24767,ENX2064,A126,EMP1017,C1323,2015-01-10,1,1414
AX10378,ENX2007,A120,EMP1019,C1174,2015-01-11,1,1405
AX10838,ENX2100,A155,EMP1023,C1229,2015-01-11,1,799
AX12366,ENX2015,A112,EMP1034,C1091,2015-01-11,1,637
AX12818,ENX2058,A149,EMP1037,C1750,2015-01-11,4,2257
AX12955,ENX2039,A158,EMP1009,C1196,2015-01-11,3,817
AX13861,ENX2018,A162,EMP1018,C1013,2015-01-11,2,1972
AX13957,ENX2078,A110,EMP1004,C1246,2015-01-11,3,1798
AX14249,ENX2086,A148,EMP1039,C1332,2015-01-11,1,123
AX14759,ENX2016,A103,EMP1006,C1478,2015-01-11,1,1351
AX15367,ENX2046,A133,EMP1033,C1688,2015-01-11,1,2410
AX16359,ENX2081,A133,EMP1007,C1017,2015-01-11,2,1566
AX16712,ENX2019,A165,EMP1024,C1497,2015-01-11,1,800
AX17708,ENX2039,A126,EMP1008,C1069,2015-01-11,3,817
AX19884,ENX2066,A131,EMP1011,C1273,2015-01-11,1,2091
AX19895,ENX2003,A119,EMP1024,C1658,2015-01-11,2,1783
AX20174,ENX2074,A108,EMP1018,C1557,2015-01-11,1,504
AX21510,ENX2026,A143,EMP1039,C1598,2015-01-11,3,947
AX21801,ENX2035,A137,EMP1022,C1682,2015-01-11,1,458
AX22095,ENX2011,A164,EMP1041,C1407,2015-01-11,1,530
AX22477,ENX2062,A115,EMP1030,C1433,2015-01-11,4,2464
AX22588,ENX2010,A149,EMP1042,C1540,2015-01-11,3,1812
AX24064,ENX2007,A171,EMP1042,C1054,2015-01-11,2,1405
AX24910,ENX2094,A132,EMP1009,C1746,2015-01-11,2,771
AX10007,ENX2001,A122,EMP1003,C1368,2015-01-12,4,951
AX12124,ENX2092,A125,EMP1002,C1260,2015-01-12,3,1639
AX12371,ENX2053,A116,EMP1032,C1048,2015-01-12,1,596
AX12760,ENX2051,A124,EMP1041,C1310,2015-01-12,3,1077
AX13347,ENX2008,A157,EMP1008,C1389,2015-01-12,1,315
AX13415,ENX2070,A117,EMP1004,C1082,2015-01-12,4,1671
AX13527,ENX2033,A134,EMP1035,C1489,2015-01-12,3,2182
AX14943,ENX2082,A125,EMP1011,C1356,2015-01-12,3,1103
AX17264,ENX2058,A126,EMP1008,C1148,2015-01-12,1,2257
AX17496,ENX2085,A142,EMP1011,C1529,2015-01-12,1,1862
AX20883,ENX2026,A160,EMP1035,C1505,2015-01-12,1,947
AX22143,ENX2068,A120,EMP1040,C1134,2015-01-12,3,1500
AX22669,ENX2040,A111,EMP1042,C1284,2015-01-12,4,1889
AX24396,ENX2074,A173,EMP1006,C1334,2015-01-12,4,504
AX10419,ENX2017,A101,EMP1040,C1196,2015-01-13,1,35
AX11178,ENX2070,A164,EMP1018,C1499,2015-01-13,4,1671
AX12053,ENX2020,A113,EMP1005,C1273,2015-01-13,3,2005
AX12341,ENX2024,A126,EMP1024,C1419,2015-01-13,2,356
AX16527,ENX2035,A124,EMP1011,C1407,2015-01-13,1,458
AX17173,ENX2034,A171,EMP1028,C1303,2015-01-13,2,871
AX18991,ENX2056,A106,EMP1044,C1504,2015-01-13,3,1635
AX19787,ENX2038,A167,EMP1024,C1257,2015-01-13,2,392
AX10024,ENX2059,A104,EMP1036,C1673,2015-01-14,3,1494
AX10550,ENX2060,A100,EMP1005,C1175,2015-01-14,1,1467
AX12143,ENX2099,A159,EMP1007,C1035,2015-01-14,2,1367
AX12735,ENX2073,A107,EMP1042,C1326,2015-01-14,1,95
AX13255,ENX2022,A173,EMP1043,C1575,2015-01-14,1,561
AX15466,ENX2004,A142,EMP1003,C1296,2015-01-14,3,1278
AX16753,ENX2048,A109,EMP1001,C1785,2015-01-14,1,502
AX18652,ENX2044,A115,EMP1003,C1561,2015-01-14,1,886
AX18950,ENX2085,A145,EMP1039,C1394,2015-01-14,4,1862
AX20120,ENX2023,A115,EMP1007,C1522,2015-01-14,1,818
AX20579,ENX2074,A110,EMP1041,C1066,2015-01-14,3,504
AX20877,ENX2076,A103,EMP1032,C1598,2015-01-14,1,1522
AX21056,ENX2004,A147,EMP1020,C1369,2015-01-14,1,1278
AX21061,ENX2099,A108,EMP1018,C1426,2015-01-14,1,1367
AX21507,ENX2025,A148,EMP1042,C1563,2015-01-14,2,667
AX21603,ENX2004,A131,EMP1009,C1466,2015-01-14,1,1278
AX21982,ENX2064,A144,EMP1004,C1028,2015-01-14,4,1414
AX22085,ENX2026,A132,EMP1000,C1211,2015-01-14,1,947
AX22559,ENX2009,A160,EMP1004,C1414,2015-01-14,4,584
AX23205,ENX2065,A103,EMP1028,C1537,2015-01-14,4,2396
AX23697,ENX2033,A115,EMP1030,C1563,2015-01-14,1,2182
AX24607,ENX2034,A119,EMP1019,C1660,2015-01-14,1,871
AX24714,ENX2055,A154,EMP1041,C1417,2015-01-14,2,2495
AX24857,ENX2076,A117,EMP1034,C1555,2015-01-14,3,1522
AX10647,ENX2080,A133,EMP1041,C1353,2015-01-15,2,2353
AX12184,ENX2046,A170,EMP1018,C1004,2015-01-15,3,2410
AX12332,ENX2016,A147,EMP1008,C1611,2015-01-15,2,1351
AX12868,ENX2057,A164,EMP1014,C1249,2015-01-15,1,181
AX14153,ENX2067,A100,EMP1037,C1601,2015-01-15,3,1119
AX17196,ENX2042,A103,EMP1000,C1295,2015-01-15,1,203
AX17813,ENX2099,A163,EMP1042,C1258,2015-01-15,2,1367
AX18463,ENX2061,A124,EMP1020,C1721,2015-01-15,4,913
AX19465,ENX2017,A109,EMP1004,C1392,2015-01-15,1,35
AX19715,ENX2034,A125,EMP1031,C1015,2015-01-15,1,871
AX20191,ENX2025,A171,EMP1010,C1542,2015-01-15,1,667
AX20511,ENX2086,A147,EMP1035,C1167,2015-01-15,1,123
AX22230,ENX2008,A122,EMP1028,C1614,2015-01-15,1,315
AX22364,ENX2092,A111,EMP1040,C1009,2015-01-15,1,1639
AX10464,ENX2011,A125,EMP1025,C1330,2015-01-16,1,530
AX10515,ENX2062,A143,EMP1019,C1712,2015-01-16,4,2464
AX11275,ENX2096,A129,EMP1008,C1475,2015-01-16,1,1587
AX12319,ENX2089,A137,EMP1021,C1781,2015-01-16,2,2294
AX14367,ENX2013,A163,EMP1035,C1227,2015-01-16,1,368
AX15009,ENX2020,A107,EMP1011,C1499,2015-01-16,2,2005
AX16415,ENX2037,A149,EMP1005,C1474,2015-01-16,2,880
AX17637,ENX2065,A155,EMP1042,C1152,2015-01-16,2,2396
AX17642,ENX2090,A151,EMP1020,C1159,2015-01-16,1,1338
AX18016,ENX2012,A135,EMP1036,C1048,2015-01-16,1,1353
AX18070,ENX2045,A140,EMP1036,C1649,2015-01-16,1,556
AX18488,ENX2028,A159,EMP1021,C1381,2015-01-16,4,2283
AX18569,ENX2027,A104,EMP1004,C1364,2015-01-16,1,2497
AX19175,ENX2030,A130,EMP1025,C1774,2015-01-16,1,1899
AX20152,ENX2090,A156,EMP1018,C1385,2015-01-16,3,1338
AX20880,ENX2058,A108,EMP1032,C1087,2015-01-16,1,2257
AX22330,ENX2061,A141,EMP1028,C1352,2015-01-16,3,913
AX23164,ENX2028,A114,EMP1028,C1375,2015-01-16,1,2283
AX23339,ENX2080,A100,EMP1014,C1014,2015-01-16,1,2353
AX24103,ENX2063,A148,EMP1036,C1476,2015-01-16,4,1708
AX24347,ENX2003,A118,EMP1029,C1564,2015-01-16,1,1783
AX24983,ENX2024,A156,EMP1031,C1783,2015-01-16,4,356
AX10271,ENX2065,A151,EMP1006,C1534,2015-01-17,1,2396
AX12266,ENX2085,A173,EMP1018,C1520,2015-01-17,2,1862
AX12555,ENX2094,A149,EMP1004,C1512,2015-01-17,1,771
AX14106,ENX2017,A173,EMP1034,C1384,2015-01-17,1,35
AX16073,ENX2092,A160,EMP1037,C1041,2015-01-17,1,1639
AX19144,ENX2054,A156,EMP1027,C1178,2015-01-17,4,127
AX20895,ENX2097,A142,EMP1043,C1515,2015-01-17,1,1052
AX21712,ENX2099,A124,EMP1018,C1180,2015-01-17,1,1367
AX10362,ENX2071,A169,EMP1019,C1322,2015-01-18,1,136
AX12435,ENX2041,A142,EMP1001,C1798,2015-01-18,2,1380
AX12625,ENX2035,A146,EMP1005,C1410,2015-01-18,1,458
AX14768,ENX2051,A135,EMP1025,C1536,2015-01-18,1,1077
AX15316,ENX2030,A145,EMP1009,C1152,2015-01-18,1,1899
AX15908,ENX2046,A164,EMP1010,C1118,2015-01-18,1,2410
AX16334,ENX2033,A146,EMP1033,C1341,2015-01-18,2,2182
AX17246,ENX2085,A114,EMP1010,C1205,2015-01-18,3,1862
AX18373,ENX2089,A104,EMP1042,C1341,2015-01-18,2,2294
AX18560,ENX2078,A114,EMP1015,C1575,2015-01-18,3,1798
AX19533,ENX2050,A120,EMP1038,C1522,2015-01-18,3,2391
AX21229,ENX2089,A105,EMP1016,C1188,2015-01-18,3,2294
AX21524,ENX2049,A156,EMP1016,C1099,2015-01-18,2,826
AX22956,ENX2051,A100,EMP1018,C1542,2015-01-18,1,1077
AX24917,ENX2002,A150,EMP1021,C1068,2015-01-18,1,847
AX10566,ENX2031,A110,EMP1029,C1253,2015-01-19,4,1638
AX16558,ENX2043,A155,EMP1013,C1644,2015-01-19,2,545
AX20916,ENX2089,A153,EMP1005,C1284,2015-01-19,2,2294
AX21375,ENX2034,A165,EMP1035,C1596,2015-01-19,1,871
AX22011,ENX2078,A114,EMP1023,C1020,2015-01-19,1,1798
AX22497,ENX2080,A130,EMP1041,C1537,2015-01-19,1,2353
AX22580,ENX2060,A119,EMP1012,C1781,2015-01-19,1,1467
AX23107,ENX2087,A138,EMP1023,C1313,2015-01-19,1,1022
AX24363,ENX2048,A127,EMP1039,C1165,2015-01-19,1,502
AX10604,ENX2022,A162,EMP1038,C1653,2015-01-20,1,561
AX11127,ENX2069,A130,EMP1021,C1216,2015-01-20,2,378
AX11215,ENX2049,A153,EMP1016,C1040,2015-01-20,1,826
AX12399,ENX2059,A153,EMP1004,C1345,2015-01-20,3,1494
AX12869,ENX2078,A161,EMP1026,C1543,2015-01-20,1,1798
AX13275,ENX2022,A105,EMP1007,C1643,2015-01-20,1,561
AX13893,ENX2004,A117,EMP1008,C1328,2015-01-20,1,1278
AX13969,ENX2036,A172,EMP1040,C1263,2015-01-20,3,1582
AX14722,ENX2081,A171,EMP1017,C1275,2015-01-20,4,1566
AX17902,ENX2042,A125,EMP1039,C1121,2015-01-20,1,203
AX18435,ENX2084,A106,EMP1004,C1772,2015-01-20,4,1783
AX18592,ENX2023,A131,EMP1024,C1531,2015-01-20,4,818
AX18609,ENX2038,A109,EMP1005,C1034,2015-01-20,1,392
AX19044,ENX2047,A133,EMP1000,C1772,2015-01-20,3,290
AX21941,ENX2069,A100,EMP1005,C1455,2015-01-20,1,378
AX22285,ENX2003,A167,EMP1023,C1264,2015-01-20,1,1783
AX22689,ENX2013,A146,EMP1037,C1233,2015-01-20,1,368
AX23092,ENX2001,A149,EMP1004,C1733,2015-01-20,2,951
AX24210,ENX2018,A160,EMP1005,C1391,2015-01-20,2,1972
AX24544,ENX2075,A112,EMP1002,C1040,2015-01-20,1,400
AX10231,ENX2016,A163,EMP1013,C1465,2015-01-21,3,1351
AX11590,ENX2048,A151,EMP1038,C1096,2015-01-21,3,502
AX11675,ENX2099,A163,EMP1030,C1393,2015-01-21,2,1367
AX11759,ENX2073,A154,EMP1025,C1231,2015-01-21,3,95
AX14144,ENX2050,A106,EMP1012,C1124,2015-01-21,1,2391
AX14278,ENX2093,A116,EMP1044,C1532,2015-01-21,3,112
AX15204,ENX2070,A151,EMP1011,C1254,2015-01-21,1,1671
AX18173,ENX2091,A169,EMP1010,C1255,2015-01-21,3,368
AX18990,ENX2047,A125,EMP1010,C1176,2015-01-21,3,290
AX19651,ENX2089,A101,EMP1030,C1546,2015-01-21,1,2294
AX21591,ENX2078,A111,EMP1022,C1137,2015-01-21,3,1798
AX21934,ENX2002,A167,EMP1017,C1403,2015-01-21,2,847
AX24487,ENX2063,A107,EMP1026,C1082,2015-01-21,1,1708
AX24972,ENX2016,A151,EMP1044,C1164,2015-01-21,1,1351
AX13227,ENX2068,A169,EMP1023,C1103,2015-01-22,1,1500
AX14614,ENX2061,A151,EMP1026,C1524,2015-01-22,1,913
AX16050,ENX2076,A144,EMP1014,C1138,2015-01-22,1,1522
AX16128,ENX2014,A145,EMP1034,C1082,2015-01-22,1,1809
AX18300,ENX2047,A139,EMP1019,C1069,2015-01-22,1,290
AX19042,ENX2035,A103,EMP1001,C1069,2015-01-22,1,458
AX19094,ENX2037,A145,EMP1023,C1797,2015-01-22,4,880
AX20505,ENX2035,A104,EMP1036,C1477,2015-01-22,1,458
AX20733,ENX2067,A171,EMP1028,C1146,2015-01-22,1,1119
AX22982,ENX2086,A163,EMP1007,C1792,2015-01-22,1,123
AX23214,ENX2046,A161,EMP1031,C1595,2015-01-22,3,2410
AX24697,ENX2088,A171,EMP1011,C1696,2015-01-22,2,603
AX24869,ENX2004,A160,EMP1039,C1270,2015-01-22,4,1278
AX10139,ENX2009,A104,EMP1027,C1221,2015-01-23,2,584
AX10245,ENX2053,A145,EMP1036,C1431,2015-01-23,1,596
AX10380,ENX2076,A110,EMP1035,C1062,2015-01-23,1,1522
AX12439,ENX2074,A117,EMP1023,C1213,2015-01-23,2,504
AX12977,ENX2051,A113,EMP1033,C1477,2015-01-23,1,1077
AX13486,ENX2080,A128,EMP1043,C1670,2015-01-23,1,2353
AX13824,ENX2072,A153,EMP1039,C1166,2015-01-23,1,1887
AX14465,ENX2039,A169,EMP1014,C1661,2015-01-23,1,817
AX15828,ENX2047,A137,EMP1024,C1408,2015-01-23,2,290
AX16813,ENX2077,A161,EMP1000,C1143,2015-01-23,4,530
AX17001,ENX2056,A142,EMP1018,C1217,2015-01-23,1,1635
AX18983,ENX2066,A102,EMP1033,C1314,2015-01-23,2,2091
AX19422,ENX2067,A170,EMP1033,C1004,2015-01-23,2,1119
AX19695,ENX2061,A169,EMP1043,C1715,2015-01-23,1,913
AX20303,ENX2060,A166,EMP1012,C1525,2015-01-23,1,1467
AX20416,ENX2091,A103,EMP1012,C1633,2015-01-23,2,368
AX22513,ENX2014,A167,EMP1012,C1579,2015-01-23,3,1809
AX22913,ENX2012,A141,EMP1022,C1175,2015-01-23,2,1353
AX24600,ENX2089,A120,EMP1041,C1077,2015-01-23,2,2294
AX10090,ENX2050,A146,EMP1001,C1463,2015-01-24,3,2391
AX12475,ENX2059,A106,EMP1040,C1761,2015-01-24,1,1494
AX13544,ENX2067,A164,EMP1002,C1423,2015-01-24,4,1119
AX14180,ENX2062,A119,EMP1005,C1652,2015-01-24,3,2464
AX14256,ENX2058,A127,EMP1002,C1576,2015-01-24,4,2257
AX16159,ENX2073,A128,EMP1037,C1149,2015-01-24,2,95
AX19588,ENX2082,A110,EMP1017,C1511,2015-01-24,1,1103
AX19595,ENX2045,A151,EMP1042,C1563,2015-01-24,1,556
AX19972,ENX2003,A151,EMP1030,C1137,2015-01-24,2,1783
AX20965,ENX2093,A104,EMP1018,C1613,2015-01-24,3,112
AX23057,ENX2019,A101,EMP1008,C1163,2015-01-24,1,800
AX23062,ENX2093,A142,EMP1003,C1498,2015-01-24,4,112
AX23750,ENX2073,A171,EMP1025,C1475,2015-01-24,2,95
AX24618,ENX2009,A123,EMP1002,C1507,2015-01-24,1,584
AX10421,ENX2001,A112,EMP1033,C1041,2015-01-25,1,951
AX13568,ENX2056,A103,EMP1044,C1310,2015-01-25,3,1635
AX14623,ENX2080,A138,EMP1004,C1164,2015-01-25,1,2353
AX15883,ENX2028,A135,EMP1005,C1049,2015-01-25,1,2283
AX16541,ENX2034,A125,EMP1016,C1248,2015-01-25,1,871
AX17283,ENX2081,A168,EMP1040,C1702,2015-01-25,1,1566
AX19458,ENX2069,A141,EMP1007,C1089,2015-01-25,2,378
AX22458,ENX2035,A120,EMP1018,C1023,2015-01-25,1,458
AX23398,ENX2057,A172,EMP1018,C1151,2015-01-25,3,181
AX23453,ENX2081,A146,EMP1010,C1641,2015-01-25,1,1566
AX24651,ENX2077,A149,EMP1016,C1020,2015-01-25,4,530
AX12165,ENX2005,A124,EMP1036,C1732,2015-01-26,1,684
AX13597,ENX2044,A170,EMP1015,C1220,2015-01-26,1,886
AX13634,ENX2044,A168,EMP1018,C1121,2015-01-26,3,886
AX13836,ENX2091,A133,EMP1043,C1086,2015-01-26,1,368
AX15786,ENX2069,A173,EMP1027,C1686,2015-01-26,1,378
AX16276,ENX2084,A101,EMP1005,C1719,2015-01-26,2,1783
AX16434,ENX2000,A150,EMP1032,C1654,2015-01-26,1,2241
AX16704,ENX2060,A168,EMP1002,C1502,2015-01-26,1,1467
AX17735,ENX2053,A131,EMP1012,C1605,2015-01-26,3,596
AX17942,ENX2034,A123,EMP1027,C1589,2015-01-26,1,871
AX18215,ENX2092,A157,EMP1030,C1411,2015-01-26,1,1639
AX18546,ENX2011,A105,EMP1028,C1586,2015-01-26,2,530
AX18649,ENX2005,A128,EMP1043,C1726,2015-01-26,3,684
AX20415,ENX2064,A111,EMP1008,C1360,2015-01-26,2,1414
AX24065,ENX2036,A139,EMP1019,C1453,2015-01-26,1,1582
AX24751,ENX2016,A121,EMP1005,C1695,2015-01-26,3,1351
AX24810,ENX2065,A170,EMP1009,C1487,2015-01-26,3,2396
AX10532,ENX2033,A156,EMP1012,C1100,2015-01-27,1,2182
AX10940,ENX2066,A161,EMP1041,C1004,2015-01-27,4,2091
AX11710,ENX2019,A142,EMP1000,C1773,2015-01-27,1,800
AX11832,ENX2034,A133,EMP1036,C1170,2015-01-27,3,871
AX12769,ENX2020,A107,EMP1018,C1790,2015-01-27,1,2005
AX12892,ENX2033,A173,EMP1044,C1112,2015-01-27,1,2182
AX14463,ENX2028,A101,EMP1030,C1318,2015-01-27,4,2283
AX14647,ENX2048,A142,EMP1022,C1330,2015-01-27,1,502
AX17108,ENX2038,A123,EMP1014,C1042,2015-01-27,1,392
AX18978,ENX2044,A112,EMP1019,C1069,2015-01-27,1,886
AX19025,ENX2036,A161,EMP1043,C1285,2015-01-27,4,1582
AX19143,ENX2008,A148,EMP1038,C1307,2015-01-27,3,315
AX20223,ENX2097,A143,EMP1038,C1338,2015-01-27,2,1052
AX21070,ENX2003,A126,EMP1025,C1336,2015-01-27,3,1783
